year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,millones de toneladas-kilómetro,12.94
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,millones de toneladas-kilómetro,27.77
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,419.26
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,abonos,millones de toneladas-kilómetro,110.32
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos químicos,millones de toneladas-kilómetro,31.83
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,341.36
2017,castilla - la mancha,transporte interregional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,1538.58
2017,castilla - la mancha,transporte interregional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,3724.69
2017,castilla - la mancha,transporte interregional,expedido,combustibles minerales sólidos,millones de toneladas-kilómetro,118.1
2017,castilla - la mancha,transporte interregional,expedido,productos petrolíferos,millones de toneladas-kilómetro,361.6
2017,castilla - la mancha,transporte interregional,expedido,minerales y residuos para refundición,millones de toneladas-kilómetro,116.72
2017,castilla - la mancha,transporte interregional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,93.07
2017,castilla - la mancha,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,1360.35
2017,castilla - la mancha,transporte interregional,expedido,abonos,millones de toneladas-kilómetro,269.64
2017,castilla - la mancha,transporte interregional,expedido,productos químicos,millones de toneladas-kilómetro,498.04
2017,castilla - la mancha,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,2416.74
2017,castilla - la mancha,transporte interregional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,1099.64
2017,castilla - la mancha,transporte interregional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,2698.82
2017,castilla - la mancha,transporte interregional,recibido,combustibles minerales sólidos,millones de toneladas-kilómetro,26.16
2017,castilla - la mancha,transporte interregional,recibido,productos petrolíferos,millones de toneladas-kilómetro,235.07
2017,castilla - la mancha,transporte interregional,recibido,minerales y residuos para refundición,millones de toneladas-kilómetro,40.6
2017,castilla - la mancha,transporte interregional,recibido,productos metalúrgicos,millones de toneladas-kilómetro,384.51
2017,castilla - la mancha,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,816.94
2017,castilla - la mancha,transporte interregional,recibido,abonos,millones de toneladas-kilómetro,355.23
2017,castilla - la mancha,transporte interregional,recibido,productos químicos,millones de toneladas-kilómetro,565.12
2017,castilla - la mancha,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,2356.46
2017,castilla - la mancha,transporte internacional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,171.58
2017,castilla - la mancha,transporte internacional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,661.13
